disruption_family,severity,events,avg_recovery_months
Cyber,high,1,1.0
Cyber,medium,1,1.0
Financial & Economic,extreme,1,5.0
Financial & Economic,high,2,4.0
Financial & Economic,medium,5,7.0
Geopolitical,extreme,3,9.7
Geopolitical,high,6,9.7
Geopolitical,medium,3,6.7
Labor & Social,high,3,1.7
Labor & Social,medium,1,2.0
Logistics & Demand,extreme,4,12.0
Logistics & Demand,high,3,5.7
Logistics & Demand,medium,1,5.0
Natural & Energy,extreme,1,3.0
Natural & Energy,high,7,1.7
Pandemic,extreme,4,4.0
Pandemic,high,1,1.0
Pandemic,medium,1,2.0
Policy & Tariff,extreme,2,21.0
Policy & Tariff,high,5,12.6
Policy & Tariff,medium,3,23.0
