date,container_rate_usd_40ft,supply_chain_pressure_index,on_time_delivery_pct,has_extreme_event,extreme_events
2000-01,1630,0.5,93.0,0,
2000-02,1810,0.7,94.6,0,
2000-03,1660,0.69,92.3,0,
2000-04,2050,0.85,92.6,0,
2000-05,1900,0.62,93.4,0,
2000-06,1800,0.86,93.5,0,
2000-07,1870,0.77,93.6,0,
2000-08,1890,0.65,90.9,0,
2000-09,2130,0.69,92.1,0,
2000-10,1980,0.95,91.7,0,
2000-11,1650,0.81,91.8,0,
2000-12,1970,0.68,91.3,0,
2001-01,1950,0.82,93.4,0,
2001-02,1780,0.5,90.4,0,
2001-03,1700,0.86,90.7,0,
2001-04,1700,0.8,93.1,0,
2001-05,1620,0.71,96.0,0,
2001-06,1690,0.89,93.3,0,
2001-07,1670,0.5,93.9,0,
2001-08,1630,1.09,98.0,0,
2001-09,1710,0.61,91.4,0,
2001-10,2100,0.5,90.8,0,
2001-11,2260,0.59,89.5,0,
2001-12,2350,1.01,92.1,0,
2002-01,1900,0.51,89.7,0,
2002-02,2230,1.1,92.0,0,
2002-03,2140,0.58,89.0,0,
2002-04,2280,0.64,89.7,0,
2002-05,1850,1.06,92.5,0,
2002-06,1570,0.56,92.2,0,
2002-07,1690,0.96,93.7,0,
2002-08,1900,0.82,90.0,0,
2002-09,1980,0.81,89.1,0,
2002-10,2000,0.5,91.7,0,
2002-11,1850,0.5,96.6,0,
2002-12,1750,0.66,93.2,0,
2003-01,1770,0.66,92.2,0,
2003-02,1910,0.83,94.2,0,
2003-03,2030,0.86,91.7,0,
2003-04,2300,1.12,91.9,0,
2003-05,1660,0.69,93.2,0,
2003-06,1920,1.1,87.0,0,
2003-07,2010,0.91,95.4,0,
2003-08,2160,0.78,94.3,0,
2003-09,2360,1.05,92.9,0,
2003-10,2000,1.02,91.6,0,
2003-11,2150,0.97,89.4,0,
2003-12,2330,0.97,88.9,0,
2004-01,2070,1.01,92.0,0,
2004-02,2360,0.64,94.2,0,
2004-03,2190,1.02,92.1,0,
2004-04,1850,1.14,90.2,0,
2004-05,2340,1.18,91.3,0,
2004-06,2210,1.03,87.6,0,
2004-07,1940,0.78,88.9,0,
2004-08,2120,0.56,91.9,0,
2004-09,2130,1.1,92.8,0,
2004-10,2010,1.13,91.5,0,
2004-11,2220,0.58,90.2,0,
2004-12,1990,1.08,94.7,0,
2005-01,1890,0.98,93.8,0,
2005-02,1790,1.09,88.8,0,
2005-03,1940,1.2,91.7,0,
2005-04,2140,1.4,91.1,0,
2005-05,2150,1.6,91.8,0,
2005-06,2310,1.25,89.7,0,
2005-07,1690,1.42,94.8,0,
2005-08,2160,1.28,91.0,0,
2005-09,1860,1.49,92.5,0,
2005-10,2080,1.06,93.2,0,
2005-11,2170,1.46,88.0,0,
2005-12,1720,0.99,89.6,0,
2006-01,1990,1.29,88.9,0,
2006-02,2130,1.39,90.4,0,
2006-03,2490,1.32,93.8,0,
2006-04,2450,1.27,89.2,0,
2006-05,2220,1.51,86.8,0,
2006-06,1800,1.17,92.1,0,
2006-07,1920,1.44,92.7,0,
2006-08,2110,1.19,90.0,0,
2006-09,2210,1.53,91.3,0,
2006-10,2260,1.43,89.7,0,
2006-11,1860,1.46,87.5,0,
2006-12,2090,1.09,90.1,0,
2007-01,2530,1.14,88.4,0,
2007-02,2050,1.52,90.7,0,
2007-03,2030,1.57,88.6,0,
2007-04,1950,1.3,89.5,0,
2007-05,2220,1.52,92.1,0,
2007-06,2280,1.26,86.6,0,
2007-07,2810,1.63,90.0,0,
2007-08,2310,1.91,91.7,0,
2007-09,2160,1.45,95.4,0,
2007-10,2590,1.41,91.2,0,
2007-11,2130,1.51,91.6,0,
2007-12,1870,1.88,92.8,0,
2008-01,1930,1.5,92.9,0,
2008-02,2400,1.15,90.2,0,
2008-03,2570,1.04,92.8,0,
2008-04,2040,0.64,91.5,0,
2008-05,2170,0.61,89.8,0,
2008-06,2180,0.58,91.6,0,
2008-07,1970,0.5,91.9,0,
2008-08,1780,0.67,94.0,0,
2008-09,2000,0.64,92.6,1,Lehman collapse — global trade freeze
2008-10,2420,0.96,93.5,0,
2008-11,1860,0.75,91.5,0,
2008-12,2250,1.29,93.8,0,
2009-01,2460,1.12,92.6,0,
2009-02,2340,0.68,94.7,0,
2009-03,2590,1.09,88.6,0,
2009-04,2280,1.29,93.2,0,
2009-05,2330,0.93,89.9,0,
2009-06,2390,1.16,93.3,0,
2009-07,2290,1.03,94.0,0,
2009-08,2250,0.89,90.3,0,
2009-09,2180,0.97,92.2,0,
2009-10,2180,0.58,91.7,0,
2009-11,2270,1.29,89.2,0,
2009-12,2130,1.26,91.1,0,
2010-01,2310,1.1,97.7,0,
2010-02,2150,1.14,91.8,0,
2010-03,2320,1.09,89.4,0,
2010-04,2300,0.65,90.6,0,
2010-05,2310,0.95,87.6,0,
2010-06,2320,0.95,93.3,0,
2010-07,2070,0.77,86.9,0,
2010-08,2150,0.81,93.8,0,
2010-09,2140,0.93,91.4,0,
2010-10,2200,1.01,89.4,0,
2010-11,2440,1.19,94.0,0,
2010-12,2690,0.98,89.5,0,
2011-01,2840,1.03,90.3,0,
2011-02,2650,0.8,90.5,0,
2011-03,2580,1.23,91.4,1,Tohoku earthquake/tsunami — Japan supply shock
2011-04,2450,0.53,92.0,0,
2011-05,2110,1.33,91.8,0,
2011-06,2790,1.0,87.7,0,
2011-07,2210,0.9,92.0,0,
2011-08,2160,0.59,92.6,0,
2011-09,2050,1.01,89.1,0,
2011-10,2320,1.27,94.0,0,
2011-11,2480,1.13,90.9,0,
2011-12,2300,1.05,90.6,0,
2012-01,2500,0.59,88.9,0,
2012-02,2420,0.98,91.8,0,
2012-03,2570,0.91,90.9,0,
2012-04,2720,0.89,90.6,0,
2012-05,2290,1.13,92.8,0,
2012-06,2250,0.68,92.4,0,
2012-07,2380,1.2,91.5,0,
2012-08,2460,0.85,93.3,0,
2012-09,2420,0.87,90.8,0,
2012-10,2390,1.12,96.8,0,
2012-11,2820,0.99,90.6,0,
2012-12,2130,0.68,91.8,0,
2013-01,2500,0.99,92.9,0,
2013-02,2750,0.75,91.9,0,
2013-03,2270,0.83,89.1,0,
2013-04,2490,0.96,89.0,0,
2013-05,2470,0.82,94.6,0,
2013-06,2420,0.69,93.9,0,
2013-07,2820,0.94,93.8,0,
2013-08,2030,0.87,91.2,0,
2013-09,2760,0.83,91.9,0,
2013-10,2490,0.68,90.3,0,
2013-11,2150,1.15,90.9,0,
2013-12,2230,0.76,88.3,0,
2014-01,2540,1.05,89.3,0,
2014-02,2510,0.96,90.7,0,
2014-03,2780,1.31,88.0,0,
2014-04,2920,0.99,90.0,0,
2014-05,2360,0.88,93.1,0,
2014-06,2480,0.5,86.5,0,
2014-07,2890,1.07,88.4,0,
2014-08,2720,0.77,88.3,0,
2014-09,2560,0.98,92.1,0,
2014-10,2890,1.11,90.4,0,
2014-11,2120,1.08,90.2,0,
2014-12,2370,1.16,90.3,0,
2015-01,2580,0.86,89.2,0,
2015-02,2730,0.82,91.3,0,
2015-03,2570,0.79,93.3,0,
2015-04,2100,0.51,91.8,0,
