year,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct
2000,103.58,,2.5
2001,109.22,5.45,2.5
2002,105.54,-3.37,2.5
2003,115.29,9.24,2.5
2004,124.97,8.4,2.5
2005,125.18,0.17,2.5
2006,126.78,1.28,2.5
2007,139.35,9.91,2.5
2008,144.4,3.62,2.5
2009,128.95,-10.7,2.5
2010,146.05,13.26,2.5
2011,142.19,-2.64,2.5
2012,144.55,1.66,2.5
2013,147.95,2.35,2.5
2014,154.09,4.15,2.5
2015,151.06,-1.97,2.5
2016,156.28,3.46,2.5
2017,145.99,-6.58,2.5
2018,124.01,-15.06,12.0
2019,137.89,11.19,22.0
2020,122.84,-10.91,22.0
2021,134.67,9.63,22.0
2022,130.75,-2.91,22.0
2023,126.38,-3.34,22.0
2024,127.68,1.03,22.0
