year,manufacturer,backlog,deliveries,years_of_backlog
2010,Airbus,3216,510,6.3
2010,Boeing,3136,462,6.8
2011,Airbus,3956,548,7.2
2011,Boeing,3774,523,7.2
2012,Airbus,4696,587,8.0
2012,Boeing,4413,585,7.5
2013,Airbus,5437,626,8.7
2013,Boeing,5053,648,7.8
2014,Airbus,6171,630,9.8
2014,Boeing,5420,705,7.7
2015,Airbus,6906,635,10.9
2015,Boeing,5787,763,7.6
2016,Airbus,7005,655,10.7
2016,Boeing,5937,763,7.8
2017,Airbus,7105,677,10.5
2017,Boeing,6087,763,8.0
2018,Airbus,7056,800,8.8
2018,Boeing,6229,806,7.7
2018,COMAC,815,0,
2019,Airbus,6961,863,8.1
2019,Boeing,5706,380,15.0
2019,COMAC,815,0,
2020,Airbus,6627,566,11.7
2020,Boeing,4557,157,29.0
2020,COMAC,815,0,
2021,Airbus,6873,611,11.2
2021,Boeing,5052,340,14.9
2021,COMAC,897,0,
2022,Airbus,7384,661,11.2
2022,Boeing,5507,480,11.5
2022,COMAC,980,0,
2023,Airbus,8728,735,11.9
2023,Boeing,6455,528,12.2
2023,COMAC,1230,4,307.5
2024,Airbus,9730,766,12.7
2024,Boeing,6876,348,19.8
2024,COMAC,1437,13,110.5
2025,Airbus,10305,865,11.9
2025,Boeing,7276,495,14.7
2025,COMAC,1612,25,64.5
