year,country_iso3,leading_edge_capacity,share_of_global_pct
2019,TWN,42633,56.4
2019,KOR,32917,43.6
2020,TWN,92536,61.1
2020,KOR,58889,38.9
2021,TWN,182795,59.6
2021,KOR,124163,40.4
2022,TWN,242053,59.8
2022,KOR,162984,40.2
2023,TWN,352648,63.9
2023,KOR,198935,36.1
2024,TWN,360707,58.0
2024,KOR,236464,38.0
2024,USA,19876,3.2
2024,CHN,5084,0.8
2025,TWN,444829,48.9
2025,KOR,269220,29.6
2025,USA,140569,15.5
2025,ISR,39698,4.4
2025,CHN,15045,1.7
2026,TWN,450218,44.4
2026,KOR,308401,30.4
2026,USA,169006,16.7
2026,ISR,47022,4.6
2026,DEU,23413,2.3
2026,CHN,15954,1.6
