segment,revenue_2019_bn,revenue_2024_bn,growth_pct,avg_margin_2024
fabless_gpu,12.7,130.5,929.8,59.5
fabless_cpu_gpu,8.2,26.1,218.1,23.6
equipment_litho,13.7,31.8,133.0,33.3
fabless_diversified,31.4,63.5,102.3,27.8
foundry,69.0,131.1,89.9,38.9
eda_software,5.9,10.4,77.1,39.1
fabless_mobile,33.2,56.2,69.4,28.8
idm_automotive,24.2,37.6,55.6,21.4
equipment_diversified,27.4,41.0,49.5,26.1
equipment_etch,10.4,14.8,43.2,29.9
idm_power,5.6,6.9,22.5,26.2
idm_diversified,10.4,12.7,22.4,22.1
idm_memory,133.7,161.0,20.4,29.1
idm_analog,21.2,24.4,15.0,42.5
idm_cpu,73.3,54.4,-25.8,8.8
