month,avg_price_per_gb,fab_utilization_pct,inventory_weeks,hbm_per_gpu_gb,shortage_inflated_pct
2024-01,10.87,50.6,14.8,43.3,0.0
2024-02,10.96,51.9,14.53,50.3,0.0
2024-03,11.04,53.1,14.16,57.1,0.0
2024-04,11.19,54.3,13.86,64.1,0.0
2024-05,11.39,55.6,13.54,70.9,0.0
2024-06,11.65,56.9,13.16,78.2,0.0
2024-07,10.73,58.1,12.83,84.8,0.0
2024-08,12.11,59.3,12.49,91.9,0.0
2024-09,12.51,60.6,12.11,99.0,0.0
2024-10,12.59,61.8,11.85,105.7,0.0
2024-11,12.4,63.1,11.51,112.8,0.0
2024-12,12.66,64.4,11.17,119.8,0.0
2025-01,16.6,65.7,10.82,127.0,65.6
2025-02,21.74,66.9,10.53,133.7,66.2
2025-03,22.77,68.1,10.22,140.5,64.2
2025-04,23.63,69.3,9.85,147.2,64.7
2025-05,26.63,70.7,9.51,154.7,72.6
2025-06,26.61,71.8,9.17,161.2,97.4
2025-07,30.08,73.1,8.87,168.3,97.6
2025-08,35.41,74.4,8.47,175.3,97.5
2025-09,37.1,75.6,8.18,182.1,99.0
2025-10,38.64,76.9,7.83,189.2,98.2
2025-11,39.22,78.1,7.54,196.3,98.6
2025-12,44.59,79.4,7.16,203.1,98.9
2026-01,43.14,80.6,6.86,210.2,96.7
2026-02,46.32,81.8,6.49,216.9,98.2
2026-03,48.93,83.0,6.15,223.5,98.1
2026-04,45.09,84.3,5.81,230.7,96.7
2026-05,52.99,85.5,5.57,237.5,97.5
2026-06,57.32,86.8,5.22,244.4,97.8
2026-07,52.83,88.0,4.86,251.2,98.8
2026-08,58.82,89.3,4.51,258.6,97.3
2026-09,55.51,90.6,4.16,265.7,98.5
2026-10,64.31,91.8,3.83,272.5,98.2
2026-11,59.73,93.1,3.51,279.2,98.3
2026-12,60.33,94.3,3.14,286.3,98.2
