year_month,hbm3_stack_usd,dram_ddr4_usd,hbm_premium_multiple
2022-01,188.37,3.93,48.0
2022-02,196.24,3.56,55.0
2022-03,196.26,3.75,52.0
2022-04,220.01,3.67,60.0
2022-05,216.4,3.82,57.0
2022-06,229.54,3.57,64.0
2022-07,246.1,3.26,75.0
2022-08,240.22,3.03,79.0
2022-09,255.61,2.98,86.0
2022-10,256.74,2.64,97.0
2022-11,273.9,2.28,120.0
2022-12,278.45,2.05,136.0
2023-01,272.36,1.7,160.0
2023-02,292.39,1.78,164.0
2023-03,320.45,1.58,203.0
2023-04,326.82,1.68,195.0
2023-05,317.39,1.58,201.0
2023-06,359.3,1.66,216.0
2023-07,348.56,1.39,251.0
2023-08,400.51,1.38,290.0
2023-09,409.42,1.64,250.0
2023-10,411.76,1.73,238.0
2023-11,424.15,1.74,244.0
2023-12,431.89,1.93,224.0
2024-01,462.38,2.05,226.0
2024-02,473.52,2.08,228.0
2024-03,514.03,2.01,256.0
2024-04,558.96,2.07,270.0
2024-05,556.75,1.96,284.0
2024-06,585.39,2.11,277.0
2024-07,587.64,2.12,277.0
2024-08,606.93,2.04,298.0
2024-09,604.41,1.91,316.0
2024-10,686.42,2.1,327.0
2024-11,734.9,2.03,362.0
2024-12,741.07,1.92,386.0
2025-01,663.9,1.94,342.0
2025-02,738.13,1.82,406.0
2025-03,767.15,1.84,417.0
2025-04,719.97,1.85,389.0
2025-05,744.5,1.97,378.0
2025-06,692.12,1.8,385.0
2025-07,766.33,1.96,391.0
2025-08,734.73,1.92,383.0
2025-09,781.35,2.05,381.0
2025-10,735.91,2.07,356.0
2025-11,809.18,2.22,364.0
2025-12,833.47,2.15,388.0
2026-01,787.74,2.09,377.0
2026-02,788.91,2.13,370.0
2026-03,768.02,2.23,344.0
2026-04,840.99,2.19,384.0
